list,experiment,item,position,verbType,moveType,audioFile,verbMeaning,yoruPhrase,relClauseSubj,relClauseObj,relClauseVerb,mainClauseObj,mainClauseVerb,evidentialPol,sentence
1,island,20,89,causative,rel,1_island_20_causative_rel,harm relationship,知り合いの話によると,夫が,毎晩同僚の女の人と,飲みに行っていたことが,夫婦関係を,損なった,そうです,毎晩同僚の女の人と、知り合いの話によると、夫が飲みに行っていたことが、夫婦関係を損なったそうです。
1,island,23,92,causative,main,1_island_23_causative_main,cause bankruptcy,公式発表によると,社長が,本社の火事による多額の借金を,かかえたことが,会社の倒産を,引き起こした,ようです,会社の倒産を、公式発表によると、社長が本社の火事による多額の借金をかかえたことが、引き起こしたようです。
1,island,25,25,experiencer,situ,1_island_25_experiencer_situ,rejoice,その報告によると,弾劾調査が,大統領の不正行為を,明らかにしたことが,反対の党員を,喜ばせた,らしいです,その報告によると、弾劾調査が大統領の不正行為を明らかにしたことが、反対の党員を喜ばせたらしいです。
1,island,26,110,experiencer,rel,1_island_26_experiencer_rel,torment,世論調査によると,政府が,大規模停電の対応に,遅れたことが,多くの国民を,悩ませた,ようです,大規模停電の対応に、世論調査によると、政府が遅れたことが、多くの国民を悩ませたようです。
1,island,27,87,experiencer,main,1_island_27_experiencer_main,anger,住民の話によると,業者が,その地域全体の家に殺虫剤を,撒いたことが,環境保護論者を,怒らせた,らしいです,環境保護論者を、住民の話によると、業者がその地域全体の家に殺虫剤を撒いたことが、怒らせたらしいです。
1,island,29,63,causative,situ,1_island_29_causative_situ,secure support,報道関係者の話によると,所属する事務所が,多くの芸能人に,正式に謝罪したことが,人気女優の支持を,取り付けた,ようです,報道関係者の話によると、所属する事務所が多くの芸能人に正式に謝罪したことが、人気女優の支持を取り付けたようです。
1,island,32,55,causative,rel,1_island_32_causative_rel,cause fight,現地の記者によると,多くの住人が,流行している風邪を,引いていることが,住民同士の喧嘩を,起こした,とのことです,流行している風邪を、現地の記者によると、多くの住人が引いていることが、住民同士の喧嘩を起こしたとのことです。
2,island,1,93,causative,rel,2_island_1_causative_rel,cause problem,今朝読んだ新聞によると,社長が,自分の親戚を,5人も雇っていたことが,訴訟問題を,起こした,らしいです,自分の親戚を、今朝読んだ新聞によると、社長が5人も雇っていたことが、訴訟問題を起こしたらしいです。
2,island,2,36,causative,main,2_island_2_causative_main,cause criticism,その筆者によると,美術商が,有名画家の絵画を,買ってくれなかったことが,業界の批判を,もたらした,と言ったらしいです,業界の批判を、その筆者によると、美術商が有名画家の絵画を買ってくれなかったことが、もたらしたと言ったらしいです。
2,island,3,73,experiencer,situ,2_island_3_experiencer_situ,rejoice,知り合いの先生によると,息子が,有名大学に,5つも受かったことが,塾長を,喜ばせた,とのことです,知り合いの先生によると、息子が有名大学に5つも受かったことが、塾長を喜ばせたとのことです。
2,island,4,29,experiencer,rel,2_island_4_experiencer_rel,surprise,その有名な教授によると,研究者が,大切な文書を,無くしたことが,担当者を,驚かせた,らしいです,大切な文書を、その有名な教授によると、研究者が無くしたことが、担当者を驚かせたらしいです。
2,island,5,114,experiencer,main,2_island_5_experiencer_main,become relieved,その記者によると,大家さんが,古い家の鍵を,全て取り替えたことが,住人たちを,安心させた,ようです,住人たちを、その記者によると、大家さんが古い家の鍵を全て取り替えたことが、安心させたようです。
2,island,6,67,causative,situ,2_island_6_causative_situ,disrupt plans,学校の調査によると,野球部の監督が,先輩方からの差し入れを,盗んだことが,部員たちの予定を,狂わせた,ようです,学校の調査によると、野球部の監督が先輩方からの差し入れを盗んだことが、部員たちの予定を狂わせたようです。
2,island,7,46,causative,rel,2_island_7_causative_rel,cause bankruptcy,その責任者によると,ある社員が,極秘情報を,バラしたことが,会社の倒産を,引き起こした,ということです,極秘情報を、その責任者によると、ある社員がバラしたことが、会社の倒産を引き起こしたということです。
2,island,8,69,causative,main,2_island_8_causative_main,cause fight,住民の話によると,長男が,２度も万引きを,していたことが,夫婦喧嘩を,起こした,そうです,夫婦喧嘩を、住民の話によると、長男が２度も万引きをしていたことが、起こしたそうです。
2,island,9,16,experiencer,situ,2_island_9_experiencer_situ,anger,その記者によると,政府が,海外からの救援を,無駄にしたことが,被害者たちを,怒らせた,ようです,その記者によると、政府が海外からの救援を無駄にしたことが、被害者たちを怒らせたようです。
2,island,10,53,experiencer,rel,2_island_10_experiencer_rel,become disappointed,その候補者によると,誰も,若手の革新派を,支援しなかったことが,支持者を,がっかりさせた,らしいです,若手の革新派を、その候補者によると、誰も支援しなかったことが、支持者をがっかりさせたらしいです。
2,island,11,77,experiencer,main,2_island_11_experiencer_main,rejoice,知り合いによると,教師たちが,小学校の子供たちを,美術館に連れて行ったことが,館長を,喜ばせた,そうです,館長を、知り合いによると、教師たちが小学校の子供たちを美術館に連れて行ったことが、喜ばせたそうです。
2,island,12,27,causative,situ,2_island_12_causative_situ,cause fight,記事によると,新しい監督が,人気の選手を,4人も解雇したことが,球団の間で喧嘩を,起こした,ようです,記事によると、新しい監督が人気の選手を4人も解雇したことが、球団の間で喧嘩を起こしたようです。
2,island,13,38,causative,rel,2_island_13_causative_rel,harm relationship,公式発表によると,指導者が,政府の提示した条件を,殆ど承諾したことが,反対者との関係を,損なった,ということです,政府の提示した条件を、公式発表によると、指導者が殆ど承諾したことが、反対者との関係を損なったということです。
2,island,14,64,causative,main,2_island_14_causative_main,solve problem,住民の話によると,救助隊が,近くにいた子供たちを,迅速に助けたことが,病院搬送の問題を,解決した,ということです,病院搬送の問題を、住民の話によると、救助隊が近くにいた子供たちを迅速に助けたことが、解決したということです。
2,island,15,96,experiencer,situ,2_island_15_experiencer_situ,cause worry,その報告によると,事務所が,人気作家たちの作品を,いくつか入れ替えたことが,購読者を,心配させた,らしいです,その報告によると、事務所が人気作家たちの作品をいくつか入れ替えたことが、購読者を心配させたらしいです。
2,island,16,110,experiencer,rel,2_island_16_experiencer_rel,torment,元社員によると,人事部が,経験豊かな社員を,数名解雇したことが,社長を,悩ませた,とのことです,経験豊かな社員を、元社員によると、人事部が数名解雇したことが、社長を悩ませたとのことです。
2,island,17,87,experiencer,main,2_island_17_experiencer_main,become relieved,今日読んだ記事によると,惣菜屋の店長が,従業員の給料を,上げたことが,その従業員たちを,安心させた,ようです,その従業員たちを、今日読んだ記事によると、惣菜屋の店長が従業員の給料を上げたことが、安心させたようです。
2,island,20,21,causative,situ,2_island_20_causative_situ,harm relationship,知り合いの話によると,夫が,毎晩同僚の女の人と,飲みに行っていたことが,夫婦関係を,損なった,そうです,知り合いの話によると、夫が毎晩同僚の女の人と飲みに行っていたことが、夫婦関係を損なったそうです。
2,island,23,98,causative,rel,2_island_23_causative_rel,cause bankruptcy,公式発表によると,社長が,本社の火事による多額の借金を,かかえたことが,会社の倒産を,引き起こした,ようです,本社の火事による多額の借金を、公式発表によると、社長がかかえたことが、会社の倒産を引き起こしたようです。
2,island,25,56,causative,main,2_island_25_causative_main,cause problem,その報告によると,弾劾調査が,大統領の不正行為を,明らかにしたことが,党の中で問題を,起こした,らしいです,党の中で問題を、その報告によると、弾劾調査が大統領の不正行為を明らかにしたことが、起こしたらしいです。
2,island,26,100,experiencer,situ,2_island_26_experiencer_situ,torment,世論調査によると,政府が,大規模停電の対応に,遅れたことが,多くの国民を,悩ませた,ようです,世論調査によると、政府が大規模停電の対応に遅れたことが、多くの国民を悩ませたようです。
2,island,27,13,experiencer,rel,2_island_27_experiencer_rel,anger,住民の話によると,業者が,その地域全体の家に殺虫剤を,撒いたこと,環境保護論者を,怒らせた,らしいです,その地域全体の家に殺虫剤を、住民の話によると、業者が撒いたこと、環境保護論者を怒らせたらしいです。
2,island,29,41,experiencer,main,2_island_29_experiencer_main,become disappointed,報道関係者の話によると,所属する事務所が,多くの芸能人に,正式に謝罪したことが,週刊誌の記者たちを,がっかりさせた,ようです,週刊誌の記者たちを、報道関係者の話によると、所属する事務所が多くの芸能人に正式に謝罪したことが、がっかりさせたようです。
2,island,32,82,causative,situ,2_island_32_causative_situ,cause fight,現地の記者によると,多くの住人が,流行している風邪を,引いていることが,住民同士の喧嘩を,起こした,とのことです,現地の記者によると、多くの住人が流行している風邪を引いていることが、住民同士の喧嘩を起こしたとのことです。
3,island,1,40,causative,situ,3_island_1_causative_situ,cause problem,今朝読んだ新聞によると,社長が,自分の親戚を,5人も雇っていたことが,訴訟問題を,起こした,らしいです,今朝読んだ新聞によると、社長が自分の親戚を5人も雇っていたことが、訴訟問題を起こしたらしいです。
3,island,2,69,causative,rel,3_island_2_causative_rel,cause criticism,その筆者によると,美術商が,有名画家の絵画を,買ってくれなかったことが,業界の批判を,もたらした,と言ったらしいです,有名画家の絵画を、その筆者によると、美術商が買ってくれなかったことが、業界の批判をもたらしたと言ったらしいです。
3,island,3,103,causative,main,3_island_3_causative_main,solve problem,知り合いの先生によると,息子が,有名大学に,5つも受かったことが,引っ越しの問題を,解決した,とのことです,引っ越しの問題を、知り合いの先生によると、息子が有名大学に5つも受かったことが、解決したとのことです。
3,island,4,36,experiencer,situ,3_island_4_experiencer_situ,surprise,その有名な教授によると,研究者が,大切な文書を,無くしたことが,担当者を,驚かせた,らしいです,その有名な教授によると、研究者が大切な文書を無くしたことが、担当者を驚かせたらしいです。
3,island,5,93,experiencer,rel,3_island_5_experiencer_rel,become relieved,その記者によると,大家さんが,古い家の鍵を,全て取り替えたことが,住人たちを,安心させた,ようです,古い家の鍵を、その記者によると、大家さんが全て取り替えたことが、住人たちを安心させたようです。
3,island,6,63,experiencer,main,3_island_6_experiencer_main,make despair,学校の調査によると,野球部の監督が,先輩方からの差し入れを,盗んだことが,多くの部員たちを,失望させた,ようです,多くの部員たちを、学校の調査によると、野球部の監督が先輩方からの差し入れを盗んだことが、失望させたようです。
3,island,7,9,causative,situ,3_island_7_causative_situ,cause bankruptcy,その責任者によると,ある社員が,極秘情報を,バラしたことが,会社の倒産を,引き起こした,ということです,その責任者によると、ある社員が極秘情報をバラしたことが、会社の倒産を引き起こしたということです。
3,island,8,21,causative,rel,3_island_8_causative_rel,cause fight,住民の話によると,長男が,２度も万引きを,していたことが,夫婦喧嘩を,起こした,そうです,２度も万引きを、住民の話によると、長男がしていたことが、夫婦喧嘩を起こしたそうです。
3,island,9,80,causative,main,3_island_9_causative_main,cause criticism,その記者によると,政府が,海外からの救援を,無駄にしたことが,市民から批判を,もたらした,ようです,市民から批判を、その記者によると、政府が海外からの救援を無駄にしたことが、もたらしたようです。
3,island,10,12,experiencer,situ,3_island_10_experiencer_situ,become disappointed,その候補者によると,誰も,若手の革新派を,支援しなかったことが,支持者を,がっかりさせた,らしいです,その候補者によると、誰も若手の革新派を支援しなかったことが、支持者をがっかりさせたらしいです。
3,island,11,23,experiencer,rel,3_island_11_experiencer_rel,rejoice,知り合いによると,教師たちが,小学校の子供たちを,美術館に連れて行ったことが,館長を,喜ばせた,そうです,小学校の子供たちを、知り合いによると、教師たちが美術館に連れて行ったことが、館長を喜ばせたそうです。
3,island,12,34,experiencer,main,3_island_12_experiencer_main,surprise,記事によると,新しい監督が,人気の選手を,4人も解雇したことが,他球団を,驚かせた,ようです,他球団を、記事によると、新しい監督が人気の選手を4人も解雇したことが、驚かせたようです。
3,island,13,101,causative,situ,3_island_13_causative_situ,harm relationship,公式発表によると,指導者が,政府の提示した条件を,殆ど承諾したことが,反対者との関係を,損なった,ということです,公式発表によると、指導者が政府の提示した条件を殆ど承諾したことが、反対者との関係を損なったということです。
3,island,14,82,causative,rel,3_island_14_causative_rel,solve problem,住民の話によると,救助隊が,近くにいた子供たちを,迅速に助けたことが,病院搬送の問題を,解決した,ということです,近くにいた子供たちを、住民の話によると、救助隊が迅速に助けたことが、病院搬送の問題を解決したということです。
3,island,15,74,causative,main,3_island_15_causative_main,cause problem,その報告によると,事務所が,人気作家たちの作品を,いくつか入れ替えたことが,著作権の問題を,起こした,らしいです,著作権の問題を、その報告によると、事務所が人気作家たちの作品をいくつか入れ替えたことが、起こしたらしいです。
3,island,16,16,experiencer,situ,3_island_16_experiencer_situ,torment,元社員によると,人事部が,経験豊かな社員を,数名解雇したことが,社長を,悩ませた,とのことです,元社員によると、人事部が経験豊かな社員を数名解雇したことが、社長を悩ませたとのことです。
3,island,17,112,experiencer,rel,3_island_17_experiencer_rel,become relieved,今日読んだ記事によると,惣菜屋の店長が,従業員の給料を,上げたことが,その従業員たちを,安心させた,ようです,従業員の給料を、今日読んだ記事によると、惣菜屋の店長が上げたことが、その従業員たちを安心させたようです。
3,island,20,106,experiencer,main,3_island_20_experiencer_main,torment,知り合いの話によると,夫が,毎晩同僚の女の人と,飲みに行っていたことが,奥さんを,悩ませた,そうです,奥さんを、知り合いの話によると、夫が毎晩同僚の女の人と飲みに行っていたことが、悩ませたそうです。
3,island,23,55,causative,situ,3_island_23_causative_situ,cause bankruptcy,公式発表によると,社長が,本社の火事による多額の借金を,かかえたことが,会社の倒産を,引き起こした,ようです,公式発表によると、社長が本社の火事による多額の借金をかかえたことが、会社の倒産を引き起こしたようです。
3,island,25,60,causative,rel,3_island_25_causative_rel,cause problem,その報告によると,弾劾調査が,大統領の不正行為を,明らかにしたことが,党の中で問題を,起こした,らしいです,大統領の不正行為を、その報告によると、弾劾調査が明らかにしたことが、党の中で問題を起こしたらしいです。
3,island,26,27,causative,main,3_island_26_causative_main,cause criticism,世論調査によると,政府が,大規模停電の対応に,遅れたことが,多くの国民の批判を,もたらした,ようです,多くの国民の批判を、世論調査によると、政府が大規模停電の対応に遅れたことが、もたらしたようです。
3,island,27,71,experiencer,situ,3_island_27_experiencer_situ,anger,住民の話によると,業者が,その地域全体の家に殺虫剤を,撒いたこと,環境保護論者を,怒らせた,らしいです,住民の話によると、業者がその地域全体の家に殺虫剤を撒いたこと、環境保護論者を怒らせたらしいです。
3,island,29,49,experiencer,rel,3_island_29_experiencer_rel,become disappointed,報道関係者の話によると,所属する事務所が,多くの芸能人に,正式に謝罪したことが,週刊誌の記者たちを,がっかりさせた,ようです,多くの芸能人に、報道関係者の話によると、所属する事務所が正式に謝罪したことが、週刊誌の記者たちをがっかりさせたようです。
3,island,32,86,experiencer,main,3_island_32_experiencer_main,cause worry,現地の記者によると,多くの住人が,流行している風邪を,引いていることが,対立する住民同士を,心配させた,とのことです,対立する住民同士を、現地の記者によると、多くの住人が流行している風邪を引いていることが、心配させたとのことです。
4,island,1,74,experiencer,main,4_island_1_experiencer_main,anger,今朝読んだ新聞によると,社長が,自分の親戚を,5人も雇っていたことが,新入社員を,怒らせた,らしいです,新入社員を、今朝読んだ新聞によると、社長が自分の親戚を5人も雇っていたことが、怒らせたらしいです。
4,island,2,57,causative,situ,4_island_2_causative_situ,cause criticism,その筆者によると,美術商が,有名画家の絵画を,買ってくれなかったことが,業界の批判を,もたらした,と言ったらしいです,その筆者によると、美術商が有名画家の絵画を買ってくれなかったことが、業界の批判をもたらしたと言ったらしいです。
4,island,3,62,causative,rel,4_island_3_causative_rel,solve problem,知り合いの先生によると,息子が,有名大学に,5つも受かったことが,引っ越しの問題を,解決した,とのことです,有名大学に、知り合いの先生によると、息子が5つも受かったことが、引っ越しの問題を解決したとのことです。
4,island,4,71,causative,main,4_island_4_causative_main,harm relationship,その有名な教授によると,研究者が,大切な文書を,無くしたことが,担当者との関係を,損なった,らしいです,担当者との関係を、その有名な教授によると、研究者が大切な文書を無くしたことが、損なったらしいです。
4,island,5,100,experiencer,situ,4_island_5_experiencer_situ,become relieved,その記者によると,大家さんが,古い家の鍵を,全て取り替えたことが,住人たちを,安心させた,ようです,その記者によると、大家さんが古い家の鍵を全て取り替えたことが、住人たちを安心させたようです。
4,island,6,49,experiencer,rel,4_island_6_experiencer_rel,make despair,学校の調査によると,野球部の監督が,先輩方からの差し入れを,盗んだことが,多くの部員たちを,失望させた,ようです,先輩方からの差し入れを、学校の調査によると、野球部の監督が盗んだことが、多くの部員たちを失望させたようです。
4,island,7,46,experiencer,main,4_island_7_experiencer_main,cause worry,その責任者によると,ある社員が,極秘情報を,バラしたことが,社長を,心配させた,ということです,社長を、その責任者によると、ある社員が極秘情報をバラしたことが、心配させたということです。
4,island,8,33,causative,situ,4_island_8_causative_situ,cause fight,住民の話によると,長男が,２度も万引きを,していたことが,夫婦喧嘩を,起こした,そうです,住民の話によると、長男が２度も万引きをしていたことが、夫婦喧嘩を起こしたそうです。
4,island,9,19,causative,rel,4_island_9_causative_rel,cause criticism,その記者によると,政府が,海外からの救援を,無駄にしたことが,市民から批判を,もたらした,ようです,海外からの救援を、その記者によると、政府が無駄にしたことが、市民から批判をもたらしたようです。
4,island,10,24,causative,main,4_island_10_causative_main,disrupt plans,その候補者によると,誰も,若手の革新派を,支援しなかったことが,その派閥の計画を,狂わせた,らしいです,その派閥の計画を、その候補者によると、誰も若手の革新派を支援しなかったことが、狂わせたらしいです。
4,island,11,52,experiencer,situ,4_island_11_experiencer_situ,rejoice,知り合いによると,教師たちが,小学校の子供たちを,美術館に連れて行ったことが,館長を,喜ばせた,そうです,知り合いによると、教師たちが小学校の子供たちを美術館に連れて行ったことが、館長を喜ばせたそうです。
4,island,12,76,experiencer,rel,4_island_12_experiencer_rel,surprise,記事によると,新しい監督が,人気の選手を,4人も解雇したことが,他球団を,驚かせた,ようです,人気の選手を、記事によると、新しい監督が4人も解雇したことが、他球団を驚かせたようです。
4,island,13,88,experiencer,main,4_island_13_experiencer_main,make despair,公式発表によると,指導者が,政府の提示した条件を,殆ど承諾したことが,反対者を,失望させた,ということです,反対者を、公式発表によると、指導者が政府の提示した条件を殆ど承諾したことが、失望させたということです。
4,island,14,67,causative,situ,4_island_14_causative_situ,solve problem,住民の話によると,救助隊が,近くにいた子供たちを,迅速に助けたことが,病院搬送の問題を,解決した,ということです,住民の話によると、救助隊が近くにいた子供たちを迅速に助けたことが、病院搬送の問題を解決したということです。
4,island,15,111,causative,rel,4_island_15_causative_rel,cause problem,その報告によると,事務所が,人気作家たちの作品を,いくつか入れ替えたことが,著作権の問題を,起こした,らしいです,人気作家たちの作品を、その報告によると、事務所がいくつか入れ替えたことが、著作権の問題を起こしたらしいです。
4,island,16,80,causative,main,4_island_16_causative_main,cause bankruptcy,元社員によると,人事部が,経験豊かな社員を,数名解雇したことが,会社の倒産を,引き起こした,とのことです,会社の倒産を、元社員によると、人事部が経験豊かな社員を数名解雇したことが、引き起こしたとのことです。
4,island,17,38,experiencer,situ,4_island_17_experiencer_situ,become relieved,今日読んだ記事によると,惣菜屋の店長が,従業員の給料を,上げたことが,その従業員たちを,安心させた,ようです,今日読んだ記事によると、惣菜屋の店長が従業員の給料を上げたことが、その従業員たちを安心させたようです。
4,island,20,113,experiencer,rel,4_island_20_experiencer_rel,torment,知り合いの話によると,夫が,毎晩同僚の女の人と,飲みに行っていたことが,奥さんを,悩ませた,そうです,毎晩同僚の女の人と、知り合いの話によると、夫が飲みに行っていたことが、奥さんを悩ませたそうです。
4,island,23,11,experiencer,main,4_island_23_experiencer_main,make despair,公式発表によると,社長が,本社の火事による多額の借金を,かかえたことが,株主たちを,失望させた,ようです,株主たちを、公式発表によると、社長が本社の火事による多額の借金をかかえたことが、失望させたようです。
4,island,25,29,causative,situ,4_island_25_causative_situ,cause problem,その報告によると,弾劾調査が,大統領の不正行為を,明らかにしたことが,党の中で問題を,起こした,らしいです,その報告によると、弾劾調査が大統領の不正行為を明らかにしたことが、党の中で問題を起こしたらしいです。
4,island,26,107,causative,rel,4_island_26_causative_rel,cause criticism,世論調査によると,政府が,大規模停電の対応に,遅れたことが,多くの国民の批判を,もたらした,ようです,大規模停電の対応に、世論調査によると、政府が遅れたことが、多くの国民の批判をもたらしたようです。
4,island,27,14,causative,main,4_island_27_causative_main,solve problem,住民の話によると,業者が,その地域全体の家に殺虫剤を,撒いたことが,害虫問題を,解決した,らしいです,害虫問題を、住民の話によると、業者がその地域全体の家に殺虫剤を撒いたことが、解決したらしいです。
4,island,29,64,experiencer,situ,4_island_29_experiencer_situ,become disappointed,報道関係者の話によると,所属する事務所が,多くの芸能人に,正式に謝罪したことが,週刊誌の記者たちを,がっかりさせた,ようです,報道関係者の話によると、所属する事務所が多くの芸能人に正式に謝罪したことが、週刊誌の記者たちをがっかりさせたようです。
4,island,32,93,experiencer,rel,4_island_32_experiencer_rel,cause worry,現地の記者によると,多くの住人が,流行している風邪を,引いていることが,対立する住民同士を,心配させた,とのことです,流行している風邪を、現地の記者によると、多くの住人が引いていることが、対立する住民同士を心配させたとのことです。
5,island,1,9,experiencer,rel,5_island_1_experiencer_rel,anger,今朝読んだ新聞によると,社長が,自分の親戚を,5人も雇っていたことが,新入社員を,怒らせた,らしいです,自分の親戚を、今朝読んだ新聞によると、社長が5人も雇っていたことが、新入社員を怒らせたらしいです。
5,island,2,104,experiencer,main,5_island_2_experiencer_main,become disappointed,その筆者によると,美術商が,有名画家の絵画を,買ってくれなかったことが,批評家を,がっかりさせた,と言ったらしいです,批評家を、その筆者によると、美術商が有名画家の絵画を買ってくれなかったことが、がっかりさせたと言ったらしいです。
5,island,3,13,causative,situ,5_island_3_causative_situ,solve problem,知り合いの先生によると,息子が,有名大学に,5つも受かったことが,引っ越しの問題を,解決した,とのことです,知り合いの先生によると、息子が有名大学に5つも受かったことが、引っ越しの問題を解決したとのことです。
5,island,4,108,causative,rel,5_island_4_causative_rel,harm relationship,その有名な教授によると,研究者が,大切な文書を,無くしたことが,担当者との関係を,損なった,らしいです,大切な文書を、その有名な教授によると、研究者が無くしたことが、担当者との関係を損なったらしいです。
5,island,5,114,causative,main,5_island_5_causative_main,secure support,その記者によると,大家さんが,古い家の鍵を,全て取り替えたことが,住人たちの支持を,取り付けた,ようです,住人たちの支持を、その記者によると、大家さんが古い家の鍵を全て取り替えたことが、取り付けたようです。
5,island,6,91,experiencer,situ,5_island_6_experiencer_situ,make despair,学校の調査によると,野球部の監督が,先輩方からの差し入れを,盗んだことが,多くの部員たちを,失望させた,ようです,学校の調査によると、野球部の監督が先輩方からの差し入れを盗んだことが、多くの部員たちを失望させたようです。
5,island,7,64,experiencer,rel,5_island_7_experiencer_rel,cause worry,その責任者によると,ある社員が,極秘情報を,バラしたことが,社長を,心配させた,ということです,極秘情報を、その責任者によると、ある社員がバラしたことが、社長を心配させたということです。
5,island,8,41,experiencer,main,5_island_8_experiencer_main,torment,住民の話によると,長男が,２度も万引きを,していたことが,その両親を,悩ませた,そうです,その両親を、住民の話によると、長男が２度も万引きをしていたことが、悩ませたそうです。
5,island,9,111,causative,situ,5_island_9_causative_situ,cause criticism,その記者によると,政府が,海外からの救援を,無駄にしたことが,市民から批判を,もたらした,ようです,その記者によると、政府が海外からの救援を無駄にしたことが、市民から批判をもたらしたようです。
5,island,10,82,causative,rel,5_island_10_causative_rel,disrupt plans,その候補者によると,誰も,若手の革新派を,支援しなかったことが,その派閥の計画を,狂わせた,らしいです,若手の革新派を、その候補者によると、誰も支援しなかったことが、その派閥の計画を狂わせたらしいです。
5,island,11,54,causative,main,5_island_11_causative_main,secure support,知り合いによると,教師たちが,小学校の子供たちを,美術館に連れて行ったことが,校長の支持を,取り付けた,そうです,校長の支持を、知り合いによると、教師たちが小学校の子供たちを美術館に連れて行ったことが、取り付けたそうです。
